id	id
1	1
1	3104
1	7917
1	8858
2	2
4	4
4	1073
4	5236
4	4
4	1073
4	13896
4	4
4	1073
4	13896
4	4
4	443
4	1864
4	4
4	1073
4	13896
5	5
5	2593
6	6
6	5442
6	6
6	592
6	10937
7	7
7	3271
7	4600
8	8
8	1866
8	3160
9	9
9	8130
10	10
10	1290
10	9491
10	10
10	1290
10	10
10	1290
12	12
12	44
12	179
12	5146
12	6921
12	7628
13	13
13	4252
13	4468
13	5840
13	6187
13	7078
13	13
13	4252
13	6187
13	7078
14	14
14	6143
14	7994
14	9223
15	15
15	15
15	4749
15	15
15	4749
15	15
15	4749
15	15
15	4749
15	15
15	4749
15	15
15	15
15	4749
16	16
16	3293
16	8312
16	8375
16	16
16	8312
17	17
17	2072
17	7212
17	7499
17	8632
18	18
18	18
18	3812
18	7221
18	18
18	3812
18	7221
18	18
18	18
18	7221
18	18
18	648
18	1537
18	3812
18	7221
18	18
19	19
19	6114
19	19
19	3848
19	19
19	3848
19	19
19	6114
19	19
19	3848
19	19
19	257
19	19
19	3848
19	7894
19	8410
20	20
20	3886
20	4875
20	8643
20	20
20	2834
20	20
20	3886
20	4875
20	8643
21	21
21	21
22	22
22	1710
22	3324
22	4345
22	6896
22	8574
22	22
22	477
22	1660
22	1951
22	3324
22	22
22	1476
22	1951
22	6167
22	10690
22	10719
22	10890
22	10916
22	22
22	924
22	1481
22	6887
22	8574
22	22
22	924
22	1481
22	6887
22	8574
22	22
22	924
22	1481
22	6887
22	8574
22	22
22	924
22	1481
22	3324
22	8574
22	22
22	924
22	1710
22	3324
22	6896
22	8574
22	22
22	1660
22	1951
22	3324
22	22
22	3324
22	22
22	924
22	1710
22	3324
22	6230
22	6896
22	8574
23	23
23	3538
23	4592
25	25
26	26
26	13820
26	26
26	13820
27	27
27	1837
28	28
28	28
29	29
29	2371
29	8837
30	30
31	31
31	687
31	3672
31	6288
31	6599
31	8112
31	31
32	32
32	2416
32	8514
34	34
34	2194
34	3072
34	5028
35	35
35	170
35	2194
35	35
35	2194
37	37
37	1779
38	38
38	1476
38	2456
39	39
39	681
39	1713
39	3521
39	4378
39	4721
39	6461
40	40
40	1437
40	1934
40	3520
41	41
41	3575
41	5961
41	6113
41	9459
41	41
41	3989
41	4277
41	6116
41	8378
42	42
42	3877
42	42
42	1253
42	8222
43	43
43	6060
43	8056
44	12
44	44
44	179
44	5146
44	6921
44	7628
45	45
45	6811
46	46
46	1575
46	3660
46	9164
47	47
47	3104
47	5919
47	5920
48	48
48	4171
48	5465
48	7551
49	49
49	2639
49	4516
49	13742
49	49
49	50
49	2639
49	4516
49	49
49	50
49	438
49	3008
49	6301
49	10422
49	49
49	2951
49	4516
49	9618
49	9900
49	11135
49	11185
49	49
49	50
49	9560
49	10702
49	49
49	50
49	438
49	1251
49	1737
49	2639
49	4516
49	49
49	144
49	2639
49	4543
49	9888
49	13043
49	13194
49	14662
49	49
49	144
49	10294
49	11887
49	13043
49	13178
49	13910
49	14662
49	15539
49	15605
49	15638
49	49
49	144
49	941
49	4713
49	5893
49	5926
49	7381
49	8631
49	8656
49	10044
49	13178
49	14615
49	15484
49	15570
50	49
50	50
50	2639
50	4516
50	49
50	50
50	438
50	3008
50	6301
50	10422
50	49
50	50
50	9560
50	10702
50	50
50	10587
50	11140
50	49
50	50
50	438
50	1251
50	1737
50	2639
50	4516
51	51
51	5323
52	52
52	2099
52	2792
52	8294
52	52
52	2099
52	2540
52	2792
52	5877
52	52
52	2099
52	52
52	2099
52	2792
52	52
52	2099
52	2540
52	2792
52	52
52	2099
52	2792
52	52
52	2099
52	2540
52	5877
53	53
53	1642
54	54
54	693
54	1856
54	54
54	1856
54	54
54	1856
54	2747
56	56
56	3975
56	56
56	3975
56	56
56	1734
56	56
56	3975
57	57
57	1849
57	11231
57	57
57	4681
57	57
57	7293
57	57
57	1721
57	57
57	7729
57	57
57	7709
58	58
58	67
58	125
58	287
58	290
58	297
58	2786
58	5191
58	7168
58	8403
58	14766
58	58
58	67
58	287
58	290
58	297
58	2201
58	5191
58	7168
58	8403
58	13196
58	14766
58	58
58	290
58	2201
58	8402
58	14766
58	58
58	290
58	2201
58	8402
58	14766
59	59
60	60
60	7173
60	11835
60	60
60	592
60	1822
60	2590
60	4441
60	6615
60	7173
60	9302
60	9347
60	9374
