A00-1001	4073
A00-1002	2709;6264;2798
A00-1003	4776
A00-1004	2249;9884
A00-1005	6594;12690;14233
A00-1006	14459;12782;7037
A00-1007	2753;3762
A00-1008	4916
A00-1009	7974;7387;7558;11053
A00-1010	12564
A00-1011	4936;11064
A00-1012	12621;5058
A00-1013	14157;14158;11031
A00-1014	2785
A00-1015	5012;10331
A00-1016	11124;6154;6662
A00-1017	9167;4525;15224;4174;10309;11143;11983;13208
A00-1018	6874
A00-1019	7910;4846;7916
A00-1020	5790;8690
A00-1021	11014;10879;11693
A00-1022	15013;11883;5191
A00-1023	12545;8254
A00-1024	13272
A00-1025	241;9852;10679;14427
A00-1026	11306;11032;6402
A00-1027	14632
A00-1028	30;11700
A00-1029	6927;14728
A00-1030	14292
A00-1031	13187
A00-1032	14494;8952
A00-1033	2953;13259;10723
A00-1034	12545;9952;8254
A00-1035	10298
A00-1036	14292;12012;6260;7730;8882;5469
A00-1037	3442;2655;11551
A00-1038	13999
A00-1039	14553;5511;13011;6425
A00-1040	12621;5058
A00-1041	3282;3240;12323
A00-1042	13812;7406;4522
A00-1043	6760
A00-1044	9266;11707;11969;12656;14085
A00-1045	13828
A00-1046	3140;9082;3061
A00-2001	8934;10759;13306
A00-2002	8810;380;14001
A00-2003	12683;14266
A00-2004	2666
A00-2005	6000;13602
A00-2006	3766;9775;15487;11500;14751
A00-2007	13222
A00-2008	6778;4717
A00-2009	10510
A00-2010	10766
A00-2011	10361;8335
A00-2012	951;12491;9326
A00-2013	2709
A00-2014	5820;14117;13936;6792;5989
A00-2015	13540;9939;4973;8952
A00-2016	6026
A00-2017	4528;11476
A00-2018	1836
A00-2019	3329;7987
A00-2020	4498
A00-2021	6785;11285
A00-2022	1099;3322
A00-2023	1765
A00-2024	6760;9095
A00-2025	14770;13833
A00-2026	11101
A00-2027	2785
A00-2028	13856;1763;14304;5412;8399
A00-2029	8399;3385;12858
A00-2030	9278;4869;11068;14085
A00-2031	10907;1836
A00-2032	4446;8048
A00-2033	9447
A00-2034	9036
A00-2035	9257
A00-2036	9767;11804
A00-2037	13976;5954
A00-2038	7529
A00-2039	13873
A00-2040	12715
A00-2041	3508
A00-2042	5127;7535
A00-2043	11403;5684
A00-3001	2407
A00-3002	3732
A00-3003	5137
A00-3004	5262;10324
A00-3005	5361;10228
A00-3006	6077
A00-3007	8432;4050;4064
A00-3008	10066
A83-1001	6839
A83-1002	13069;14759
A83-1003	13164;13168
A83-1004	5298
A83-1005	5561;13026
A83-1006	5529
A83-1007	5511;6116;4934
A83-1008	11608
A83-1009	9427
A83-1010	4731;3472
A83-1011	8093;12249
A83-1012	10492;4464
A83-1013	11618;12506
A83-1014	14086
A83-1015	6712;5965
A83-1016	8865
A83-1017	5456;12575;13041;14647
A83-1018	13850
A83-1019	11157;2630;11271
A83-1020	3627
A83-1021	13445;12144;11189;9793
A83-1022	5668;6850
A83-1023	13775
A83-1024	14763
A83-1025	8896
A83-1026	12441
A83-1027	9931;4188
A83-1028	12360
A83-1029	9158
A83-1030	6187
A83-1031	10331;11364;7083;9978;10471;3934;4729;4732;7676;5481;5964
A83-1032	9111;13117
A83-1033	6994
A88-1001	13449
A88-1002	5921;7436;1086
A88-1003	11252;390
A88-1004	3497
A88-1005	11601
A88-1006	9069;9206
A88-1007	7896;6122
A88-1008	6414
A88-1009	5511;10533
A88-1010	5511;2605
A88-1011	13560;3917
A88-1012	9779;15125;11326
A88-1013	9122
A88-1014	4868;10041;12079;4529;8853
A88-1015	11565;11423;10178
A88-1016	4449;8883
A88-1017	3835
A88-1018	11106;6640
A88-1019	2829
A88-1020	3331;11119;11593
A88-1021	6712;10611
A88-1022	13638;7954
A88-1023	5193
A88-1024	12448
A88-1025	6909;12136
A88-1026	14307;11252
A88-1027	11260;12996
A88-1028	10242;8632;4517;13237
A88-1029	3672
A88-1030	4386
A88-1031	12357
A88-1032	8376;6144
A88-1033	9835
A88-1034	14246;7568
A92-1001	11129;3876
A92-1002	12398;6103;10331
A92-1003	7967;8668;12665
A92-1004	6358;3838;4771
A92-1005	6606;5238;5265;11541
A92-1006	11058;7558
A92-1007	7177
A92-1008	14031
A92-1009	11196;9167;8171
A92-1010	4082;8020;13141;13215
A92-1011	11719;10871
A92-1012	3399
A92-1013	7938;10491;13680
A92-1014	12027;516;4298;13375
A92-1015	13801
A92-1016	11206;3295;5466;5606;2583;8840;11743;13517
A92-1017	7181;4265;6057;7712
A92-1018	3727;7776;10506;12254
A92-1019	10479;8887
A92-1020	1625;13357;7170;2418;2195;2413;8428
A92-1021	13603
